block_key,product_id
,b000jz4hqo
,b0006zf55o
,b00004tkvy
block15,b000g80lqo
block3,b0006se5bq
,b000ehpzv8
block14,b00021xhzw
block12,b000gzwjgc
block0,b0000dbykm
block0,b00029bqa2
,b0007prnjo
block11,b000aazr5i
block20,b000bhl1r8
block1,b000i82j80
block3,b00006hmwc
block2,b000in6u62
,b000083k56
,b00006hvvo
block0,b0000ycfcw
,b00066dd5m
,b00002sac9
block0,b000bcz8ng
block0,b000fm18vi
block2,b00009apna
block2,b0009rgzgm
block0,b000ap2wyw
block10,b000o24l3q
block2,b0009jlux8
block1,b000cszg2m
block4,b00023azve
block10,b000ndicuy
block0,b0000ycfdq
block0,b0007yepy6
,b000cpmtwk
block1,b0002qnd2y
block3,b000h22pg8
block1,b0009h9q1i
block1,b000cqyclu
block2,b0001db6i6
,b000bl40dg
block1,b000h22rbg
block1,b000bezsyi
block1,b0007g9760
,b0001bg5gq
,b000ivhozk
block1,b000buqo9a
block1,b00032heya
block1,b000butd6q
block1,b00032hexq
block1,b000b6vlh4
block0,b0009i9tqy
block0,b00024yohy
block0,b00020633g
,b000cbqbby
block1,b0002x1omi
block0,b0009stm6g
block0,b000ap0h94
block0,b0000ycfe0
block0,b00006j02n
block1,b0000aka82
,b00002s8if
block1,b0009ren8e
,b000a3x6te
,b000bnb72g
block0,b000ap422c
,b000098xjo
block1,b000314vvu
block3,b000100eg4
,b000fa5ens
block7,b0002e3g6o
block7,b000ju9ndq
block16,b000nqq29y
block0,b0007iqg2q
block0,b000099sin
block14,b000hj9r3u
block1,b0007yll20
block10,b0000afwwl
block0,b0000ak7c5
block2,b000162zp6
block2,b000i84dsy
block0,b000gaoo7y
block1,b00008ajjc
block0,b000jj4fbw
block0,b000kmcf0g
block1,b000ozibhk
block10,b000h774k0
block2,b000162zq0
block22,b0006g2wke
block10,b000qs8n64
block0,b000cpshfs
,b000ehq008
block7,b000f7ixx4
block4,b000brgbpa
block6,b0000c6fjm
,b00005yx8i
block1,b000hkgj8k
,b000040p1z
block0,b0002719lk
block0,b00006h38u
block1,b000lu8a10
,b00006akwh
block0,b0006oei8u
block1,b000hysu2y
block0,b000f613x2
block0,b000p9cr34
,b000j4k804
,b00008mopv
block9,b000nwsclo
block0,b000ek6ekq
block1,b0008ews9o
,b0002agbtc
block1,b0009y6f0g
block0,b000g017kg
block22,b0006g31i6
block20,b000i2qubi
block1,b000qfqa1w
block0,b000056b62
block0,b000fbk6gc
block14,b0007d8es0
,b0006z16qq
block0,b0002w37x8
,b0006g31ao
block29,b00005atxo
,b000eavbdq
block0,b000ozhfsq
,b000083k83
block0,b0002bqqxw
block20,b000e6q3em
,b0009hmx36
block0,b00007bgty
,b0006g2zce
block3,b000jx3qxq
,b000ehpzyu
,b000al7fu2
block12,b00005lzly
block28,b000bta4k6
block22,b000m06st0
,b000300hhi
,b0000swyw4
block20,b000ndibtg
block2,b0001g6u98
block16,b000hcmtly
,b000fbgate
,b0000y7wc0
block16,b000e6g7x4
block9,b0002nt34o
block10,b000cc09uw
,b0001gu7g0
,b00073fl7w
block20,b000192rq0
block14,b00004s4xy
,b000b86a9q
block1,b000jbxxtk
,b000hvxix8
block21,b0000cc778
,b000jywfq4
block11,b000042olp
,b000bvbmci
block1,b000j588ge
,b000mtdwa4
,b00006lhf6
block1,b000s8jxpc
block3,b0009zhg8k
block0,b000e5n0mg
block0,b00079pmwa
,b0000dzfvd
block15,b000i2jd0s
block2,b0009xndso
,b00099qrok
block0,b000068xl9
block24,b000bi7uqs
block11,b0006g2wr2
,b000fbgaqc
,b00008ava7
,b000hvtk9e
block3,b000jjrwas
,b000jx29wa
block1,b00063blg8
block1,b0002bqrq8
,b000ecoami
block3,b000067vpa
block1,b0006b4zr2
block0,b000aly75i
block1,b000a7mfn8
block15,b0007d8eq2
block1,b000hlt57q
block0,b000fepvcs
block28,b0000y7wck
block0,b000gv8u32
,b000btas3y
block10,b0001o04tw
block20,b00004swll
block0,b000qv5xqy
block19,b000bw7kxw
,b000b5ss76
block0,b000067fdw
block1,b000h5ex7e
,b00008pbus
block19,b000fqvxge
,b0007q7mg2
,b00006hrjw
block10,b000bvxob0
,b000f8gxg2
,b00006ht1c
,b000a6jrwq
,b0007zgxy0
,b000cemp0m
block19,b000b5ue6y
,b000az841m
,b000e99ud0
,b000gaoxgg
block1,b00002jvfk
block20,b000ju9nay
,b000205mvk
block6,b0002t867s
,b00008avaa
block7,b000ndibaa
,b00006l3us
block11,b00014tct0
,b000fbgav2
,b000az16r6
block21,b000059s6t
block2,b000fico2o
block22,b000exu6cu
,b000205lzm
block9,b0001wn1ee
