idAmazon,idGoogleBase
b0002itt84,http://www.google.com/base/feeds/snippets/5505866551596188643
b000pgvk5s,http://www.google.com/base/feeds/snippets/1872945109493928217
b0001wn0m2,http://www.google.com/base/feeds/snippets/17784299186975876292
b000fdetxq,http://www.google.com/base/feeds/snippets/1327096272598550732
b000nvkyse,http://www.google.com/base/feeds/snippets/1492097838915695810
b000qfqa1w,http://www.google.com/base/feeds/snippets/18405745276041721942
b0008glghc,http://www.google.com/base/feeds/snippets/2838840999646798655
b000ndibws,http://www.google.com/base/feeds/snippets/9484979283744840884
b00006sijr,http://www.google.com/base/feeds/snippets/10621416214836586442
b000lrdlia,http://www.google.com/base/feeds/snippets/4142751275091158911
b000ik414i,http://www.google.com/base/feeds/snippets/16073556725854260285
b000bb7fjw,http://www.google.com/base/feeds/snippets/15423446152280840126
b000h1df7w,http://www.google.com/base/feeds/snippets/17737819843616715912
b0008glgmc,http://www.google.com/base/feeds/snippets/2838840999646798655
b000j588g4,http://www.google.com/base/feeds/snippets/17733079574233143461
b000fzvv3u,http://www.google.com/base/feeds/snippets/9675508034468866052
b000ffsgho,http://www.google.com/base/feeds/snippets/4935901327541769811
b000ffsgho,http://www.google.com/base/feeds/snippets/5515688203820371988
b000ndib96,http://www.google.com/base/feeds/snippets/16934204320953872944
b000ndib96,http://www.google.com/base/feeds/snippets/9426718267663314434
b00008mnxq,http://www.google.com/base/feeds/snippets/18380054536947094037
b000gkshi6,http://www.google.com/base/feeds/snippets/16952776452110398384
b000fvqo0o,http://www.google.com/base/feeds/snippets/2209370345378693785
b000nknb62,http://www.google.com/base/feeds/snippets/13773294714940805969
b000nknb62,http://www.google.com/base/feeds/snippets/18427191929555331953
b0007g9760,http://www.google.com/base/feeds/snippets/11567429261409321598
b000gkpds8,http://www.google.com/base/feeds/snippets/4935901327541769811
b000gkpds8,http://www.google.com/base/feeds/snippets/5515688203820371988
b000k7vinq,http://www.google.com/base/feeds/snippets/16448745536109976455
b000ozhfsq,http://www.google.com/base/feeds/snippets/9997282084409978802
b000ndibbo,http://www.google.com/base/feeds/snippets/16934204320953872944
b000ndibbo,http://www.google.com/base/feeds/snippets/9426718267663314434
b0001wn16m,http://www.google.com/base/feeds/snippets/10092468528845066077
b0006se5bq,http://www.google.com/base/feeds/snippets/18428750969726461849
b000i84dsy,http://www.google.com/base/feeds/snippets/18427191929555331953
1931102953,http://www.google.com/base/feeds/snippets/12729065138733783657
b000b85aag,http://www.google.com/base/feeds/snippets/2233807276870300519
b000nkklwy,http://www.google.com/base/feeds/snippets/18277858650749573891
b000bcz8ng,http://www.google.com/base/feeds/snippets/3077454195131808819
b0000dk573,http://www.google.com/base/feeds/snippets/17077922689318325801
b000sqnbp2,http://www.google.com/base/feeds/snippets/18309926777977827139
b0006aao96,http://www.google.com/base/feeds/snippets/15911936238938935149
b000nif4im,http://www.google.com/base/feeds/snippets/16793437722628106463
b0009dwkwo,http://www.google.com/base/feeds/snippets/15744420000863688597
b0009qvgeo,http://www.google.com/base/feeds/snippets/17491282253363994324
b000hzrlim,http://www.google.com/base/feeds/snippets/6645838516644564026
b000g80lqo,http://www.google.com/base/feeds/snippets/18441188461196475272
b000hbxjve,http://www.google.com/base/feeds/snippets/17956249157120493393
b000fepvcs,http://www.google.com/base/feeds/snippets/18395637668335924867
b0001fyrq2,http://www.google.com/base/feeds/snippets/14693413290856659257
b0002ibeve,http://www.google.com/base/feeds/snippets/3360196621571367222
b0002x9a1u,http://www.google.com/base/feeds/snippets/13871525141591734359
b0002x9a1u,http://www.google.com/base/feeds/snippets/4282890852330556387
b000hcz8ey,http://www.google.com/base/feeds/snippets/11114112522015930440
b000fem8ew,http://www.google.com/base/feeds/snippets/18395637668335924867
b00002s6sc,http://www.google.com/base/feeds/snippets/10496277297966281940
b000ga99ry,http://www.google.com/base/feeds/snippets/13264093951540339583
b000gamw7s,http://www.google.com/base/feeds/snippets/18053348848713858697
b000051sgq,http://www.google.com/base/feeds/snippets/17588771746186862436
b000051sgq,http://www.google.com/base/feeds/snippets/16778737466501327415
b00022pti4,http://www.google.com/base/feeds/snippets/7739419455751524618
b00022pti4,http://www.google.com/base/feeds/snippets/18347005743602331538
b000h20hu4,http://www.google.com/base/feeds/snippets/11816902045207686274
b000h20hu4,http://www.google.com/base/feeds/snippets/17967900865986277130
b000gpsz42,http://www.google.com/base/feeds/snippets/17546591632033422235
b000jgqt28,http://www.google.com/base/feeds/snippets/18282499725938188855
b000n5meva,http://www.google.com/base/feeds/snippets/4282890852330556387
b0009suw4w,http://www.google.com/base/feeds/snippets/18425416409544307946
b0009hj5ve,http://www.google.com/base/feeds/snippets/4036053921422681767
b000hbxjxc,http://www.google.com/base/feeds/snippets/11409582066977374017
b000h774k0,http://www.google.com/base/feeds/snippets/18419564278412211145
b0002yiuns,http://www.google.com/base/feeds/snippets/17602054056835540213
b000cditbc,http://www.google.com/base/feeds/snippets/18377490087458020504
b0009yegcu,http://www.google.com/base/feeds/snippets/12024241460287341882
b000exw51k,http://www.google.com/base/feeds/snippets/18190434268931466210
b000ndib8m,http://www.google.com/base/feeds/snippets/2927219174769865115
b000qfrt4o,http://www.google.com/base/feeds/snippets/2209370345378693785
